search_role,job_title,company_name,experience,location,skills,posted_date,job_link
Backend Developer,Rust Backend Developer,Alkye Services,0-1 yrs,Mohali(Phase 8 Industrial Area),"Rust, Actix, Docker, Kubernetes, Development, Backend",1 day ago,https://www.naukri.com/job-listings-rust-backend-developer-alkye-services-mohali-0-to-1-years-020426024790
Backend Developer,backend developer,Routematic,0-3 yrs,Bengaluru,"Backend, Interpersonal skills, Front end, GIT, Analytical, Javascript, Continuous improvement, SQL",3+ weeks ago,https://www.naukri.com/job-listings-backend-developer-routematic-bengaluru-0-to-3-years-121125500441
Backend Developer,Backend Developer,Flying Lion Media,0-2 yrs,Ahmedabad,"server, css, web application architecture, dbms, ajax, jquery, sql, database design",3+ weeks ago,https://www.naukri.com/job-listings-backend-developer-flying-lion-media-ahmedabad-0-to-2-years-111125502500
Backend Developer,Backend Developer |,Lambdatest,1-3 yrs,Noida,"Backend, Architecture, Coding, Analytical, Cloud, Wellness, Distribution system, Team building",1 week ago,https://www.naukri.com/job-listings-backend-developer-lambdatest-noida-1-to-3-years-250326506317
Backend Developer,Backend Developer,The Fast Way,0-2 yrs,"Mumbai, Navi Mumbai","Health insurance, SIDE, Front end, Version control, GIT, Coding, data security, MySQL",3+ weeks ago,https://www.naukri.com/job-listings-backend-developer-the-fast-way-mumbai-navi-mumbai-0-to-2-years-301225505178
Backend Developer,Backend Developer,Anantya.ai,0-1 yrs,New Delhi,"css, screening, hibernate, jquery, sourcing, sql, microservices, spring",2 weeks ago,https://www.naukri.com/job-listings-backend-developer-anantya-ai-new-delhi-0-to-1-years-170326503318
Backend Developer,Backend Developer,Metconnect Infotech,0-1 yrs,Patna,"spring boot, Backend, Architecture, Postgresql, MySQL, Debugging, AWS, microservices",3+ weeks ago,https://www.naukri.com/job-listings-backend-developer-metconnect-infotech-pvt-ltd-patna-0-to-1-years-240226502070
Backend Developer,Backend Developer,Link Ideas Technologies,0-3 yrs,Bhilai,"css, c++, bootstrap, hibernate, ajax, jquery, sql, react.js",3+ weeks ago,https://www.naukri.com/job-listings-backend-developer-link-ideas-technologies-bhilai-0-to-3-years-270525502132
Backend Developer,Backend Developer,Requin Solutions,0-1 yrs,Jaipur,"web application architecture, dbms, ajax, jquery, sql, database design, spring, java",3+ weeks ago,https://www.naukri.com/job-listings-backend-developer-requin-group-jaipur-0-to-1-years-280625501253
Backend Developer,Experienced Backend Developer,STUTZEN,1-3 yrs,Sivakasi,"C++, Hibernate, Manager Quality Assurance, Coding, Javascript, Agile, PHP, HTML",2 weeks ago,https://www.naukri.com/job-listings-experienced-backend-developer-stutzen-corporates-private-limited-sivakasi-1-to-3-years-190326505448
